struct_id_2015,structure_id_2023,match_distance_deg
800570,811243,4.51002999107002e-06
800571,808651,7.86214830194885e-06
800572,813448,3.283076805957808e-06
800573,801866,2.977109845925315e-06
800574,818612,5.285619120037353e-06
800575,807249,4.804970022430913e-06
800576,811235,3.0318745228341164e-06
800577,813732,1.085463642108749e-05
800578,813642,3.949869337586233e-05
800579,816746,3.216318530526993e-05
800580,808356,3.825708717067575e-05
800581,810535,4.337826175899101e-05
800582,805261,4.444357817305432e-05
800583,807686,3.080444505332075e-05
800584,805507,3.237182917650019e-05
800585,809073,1.7289638467920436e-05
800586,807397,4.777352544193953e-05
800587,803960,4.887645958003523e-05
800588,816428,4.790255940585872e-05
800589,801556,3.172522171597355e-05
800590,805975,8.742728054688486e-06
800591,813379,1.9601029830758046e-05
800592,811425,3.2002645975443326e-05
800593,813441,2.840301938878719e-05
800594,818514,2.334779463341305e-05
800595,817934,1.2682512765026442e-06
800596,813504,4.29025672416981e-06
800597,806278,1.654977050061872e-05
800598,801564,2.3531789267267278e-05
800599,803566,1.162144328997205e-05
800600,803299,3.626607636825647e-05
800601,800627,5.0132099575585306e-05
800602,807226,5.161141079859464e-05
800603,807226,4.5969998042788516e-05
800604,808329,7.288810708776266e-05
800605,804529,4.8656264826948785e-05
800606,804529,4.272915682722563e-05
800607,816519,7.471459469977337e-05
800608,802838,6.67036536055555e-05
800609,802838,4.319903201942201e-05
800610,802838,6.355751749616185e-05
800611,815862,7.431221397699713e-05
800612,814364,5.205338776489888e-05
800613,814364,5.0622552609988243e-05
800614,808839,1.7503458140299174e-05
800615,817640,1.1546376317752477e-06
800616,816849,7.540737866956466e-06
800617,811681,6.980395985680285e-05
800618,812109,5.0189872456969026e-05
800619,804920,2.4670600677375228e-06
800620,809918,1.721799286764658e-06
800621,808653,3.238329085982408e-05
800622,812662,1.3899836844443429e-05
800623,805938,5.8179875662718016e-05
800624,818211,4.618428669379552e-05
800625,813705,1.3178952250968726e-05
800626,813704,4.035181297426902e-06
800627,813705,4.82994422762532e-05
800628,801781,1.38938348021896e-05
800629,818190,8.594515381627833e-06
800630,812404,4.111879431851142e-05
800631,808528,3.258540702055109e-05
800632,808528,4.289296228814773e-05
800633,817326,6.734201476622301e-05
800634,800970,3.5485434752555635e-05
800635,807076,3.5099739381682315e-05
800636,806037,7.735007352110118e-05
800637,806037,5.5727019611194643e-05
800639,804767,6.825364114812085e-05
800640,804767,2.5156302592032442e-05
800641,808678,8.18207526423397e-05
800642,808678,5.8038612377232164e-05
800643,807368,2.975861309870024e-05
800644,808885,3.921904900748636e-05
800645,808928,3.873352756609126e-05
800646,801994,3.84478452906805e-05
800647,800098,3.745012004539039e-05
800648,813324,3.649074642368617e-05
800649,812786,5.3139773463308945e-05
800650,808748,9.740010721080973e-06
800651,808748,6.4219975505177e-05
800652,812736,5.772914929482253e-06
800653,814665,7.272600008532414e-05
800654,816747,5.0016290312486064e-05
800655,807802,3.7984670624315466e-05
800656,817909,5.74904799805568e-05
800657,807929,4.410704440438499e-05
800658,809062,6.273315414033951e-07
800659,808664,6.009611931654099e-05
800660,801945,6.610569742797852e-05
800661,801945,2.143074607928107e-06
800662,807710,2.176581058871561e-05
800663,801235,3.339931121929233e-06
800664,808328,7.402824435832096e-06
800665,817322,5.59448121632586e-07
800666,806693,7.94344445857644e-06
800667,816705,1.9813393121460147e-05
800668,810139,3.032542068552576e-05
800669,803976,4.988793644739001e-05
800670,807668,4.771682977628694e-05
800671,804688,3.755041756642301e-05
800672,817463,3.703033131544773e-05
800673,807281,7.819749527076004e-05
800674,805663,3.69772636475451e-05
800675,801214,9.055931827719732e-05
800676,807196,1.6363826302094607e-06
800677,813814,1.2836773059277772e-06
800678,807941,1.8960142268035546e-06
800679,807197,5.983494235166358e-07
800680,813815,1.6074560334634116e-05
800681,813815,1.0927207094221956e-05
800682,815207,1.3773628651291973e-05
800683,802737,7.4442674364091365e-06
800684,811834,3.4991368969772146e-05
800685,810567,3.251618538023064e-05
800686,809381,6.685483428598695e-06
800687,803671,2.61540709840817e-06
800688,804252,6.325400373056527e-06
800689,811627,2.013422228966124e-05
800690,804378,3.3228626676953156e-06
800691,805217,4.076748836242661e-05
800692,816877,7.134495366889018e-06
800693,811491,5.785915393716144e-05
