structure_id,total_roof_area,usable_roof_area,dominant_rating,solar_score_avg,roof_patch_count,excellent_area,usable_ratio
800170,108.0,68.0,Moderate,4.0,8,36.0,0.63
800171,280.0,188.0,Moderate,3.6,10,16.0,0.671
800172,412.0,412.0,Excellent,5.0,1,412.0,1.0
800173,84.0,80.0,Good,3.75,4,0.0,0.952
800174,36.0,0.0,Poor,2.0,8,0.0,0.0
800175,172.0,172.0,Good,4.5,8,96.0,1.0
800176,148.0,136.0,Good,3.83,6,0.0,0.919
800177,312.0,268.0,Excellent,3.5,2,268.0,0.859
800178,396.0,376.0,Good,3.8,5,364.0,0.949
800179,12.0,12.0,Good,4.0,1,0.0,1.0
800180,4.0,0.0,Very Poor,1.0,1,0.0,0.0
800181,292.0,172.0,Good,3.7,10,0.0,0.589
800183,40.0,40.0,Good,4.0,2,0.0,1.0
800184,12.0,12.0,Good,4.0,1,0.0,1.0
800185,4.0,4.0,Excellent,5.0,1,4.0,1.0
800187,88.0,88.0,Good,4.0,3,0.0,1.0
800188,176.0,176.0,Excellent,4.57,7,76.0,1.0
800190,196.0,152.0,Good,4.36,14,96.0,0.776
800191,312.0,204.0,Poor,2.75,4,204.0,0.654
800193,552.0,452.0,Good,3.69,13,0.0,0.819
800194,92.0,76.0,Good,3.86,7,36.0,0.826
800195,4.0,4.0,Excellent,5.0,1,4.0,1.0
800196,4.0,4.0,Good,4.0,1,0.0,1.0
800198,60.0,0.0,Moderate,2.5,2,0.0,0.0
800199,20.0,0.0,Moderate,3.0,1,0.0,0.0
800200,52.0,36.0,Moderate,4.0,2,36.0,0.692
800203,48.0,48.0,Good,4.5,2,20.0,1.0
800207,180.0,180.0,Good,4.0,2,0.0,1.0
800208,1172.0,996.0,Good,3.75,40,124.0,0.85
800209,180.0,164.0,Good,4.0,6,80.0,0.911
800214,128.0,100.0,Good,3.8,5,28.0,0.781
800215,164.0,0.0,Poor,2.0,3,0.0,0.0
800216,140.0,128.0,Good,4.0,6,52.0,0.914
800217,1064.0,840.0,Good,3.64,36,36.0,0.789
800218,624.0,616.0,Moderate,3.75,4,608.0,0.987
800219,52.0,48.0,Good,3.83,6,0.0,0.923
800220,156.0,148.0,Excellent,4.25,4,112.0,0.949
800221,24.0,24.0,Excellent,5.0,1,24.0,1.0
800222,104.0,100.0,Good,4.2,5,84.0,0.962
800223,420.0,388.0,Good,2.4,5,0.0,0.924
800226,548.0,536.0,Excellent,4.38,16,184.0,0.978
800227,732.0,728.0,Excellent,4.5,6,272.0,0.995
800228,56.0,0.0,Very Poor,1.5,4,0.0,0.0
800229,184.0,172.0,Good,4.12,8,24.0,0.935
800230,4.0,4.0,Good,4.0,1,0.0,1.0
800232,8.0,8.0,Good,4.0,2,0.0,1.0
800234,360.0,148.0,Good,3.07,15,88.0,0.411
800235,36.0,0.0,Very Poor,1.5,2,0.0,0.0
800237,164.0,72.0,Moderate,3.18,17,0.0,0.439
800238,64.0,52.0,Good,3.75,4,0.0,0.812
800239,112.0,112.0,Good,4.33,3,72.0,1.0
800240,180.0,0.0,Poor,1.57,7,0.0,0.0
